Tag Name,List,Rule ID,Level,Description,Value,Tag Name,List,Description,Value,Message (Display IF <col 1> is <col 6> AND <col 7> is <col 10>)
EdDischargeDisposition,,6109,2,Ed Discharge Disposition,<Not Applicable>,HospitalDischargeDisposition,,Hospital Discharge Disposition,<Not Known>,Field cannot not be Not Applicable when Hospital Discharge Disposition is Not Known/Not Recorded
TbiCerebralMonitorDate,,10405,3,Cerebral Monitor Date,<Not Known>,TbiCerebralMonitors[].TbiCerebralMonitor,TbiCerebralMonitors,Cerebral Monitor,<Not Blank>,"Field should not be 'Not Known/Not Recorded' when Cerebral Monitor is not 'Not Applicable' or 'Not Known/Not Recorded'"
TbiCerebralMonitorTime,,10505,3,Cerebral Monitor Time,<Not Known>,TbiCerebralMonitors[].TbiCerebralMonitor,TbiCerebralMonitors,Cerebral Monitor,<Not Blank>,"Field should not be 'Not Known/Not Recorded' when Cerebral Monitor is not 'Not Applicable' or 'Not Known/Not Recorded'"
VteProphylaxisDate,,10708,2,Venous Thromboembolism Prophylaxis Date,<Not Biu =1>,VteProphylaxisType,,Venous Thromboembolism Prophylaxis Type,5,Field should be Not Applicable when VTE Prophylaxis is 'None'
VteProphylaxisTime,,10808,2,Venous Thromboembolism Prophylaxis Time,<Not Biu =1>,VteProphylaxisType,,Venous Thromboembolism Prophylaxis Type,5,Field should be Not Applicable when VTE Prophylaxis is 'None'
EmbolizationSites[].EmbolizationSite,EmbolizationSites,11804,2,Embolization site,<Not Biu =1>,Angiography,,Angiography,"1,2",Field should be Not Applicable when Angiography is 'None' or 'Angiogram only'
AngiographyDate,,11905,2,Angiography Date,<Not Biu =1>,Angiography,,Angiography,1,Field should be Not Applicable when Angiography is 'None'
AngiographyTime,,12005,2,Angiography Time,<Not Biu =1>,Angiography,,Angiography,1,Field should be Not Applicable when Angiography is 'None'
HemorrhageControlSurgeryDate,,12206,2,Hemorrhage Control Surgery Date,<Not Biu =1>,HemorrhageControlSurgeryType,,Hemorrhage Control Surgery Type,1,Field should be Not Applicable when Hemorrhage Control Surgery Type is 'None'
HemorrhageControlSurgeryTime,,12306,2,Hemorrhage Control Surgery Time,<Not Biu =1>,HemorrhageControlSurgeryType,,Hemorrhage Control Surgery Type,1,Field should be Not Applicable when Hemorrhage Control Surgery Type is 'None'
LowestSbp,,10907,2,Lowest Sbp,<Not Biu =2>,TransfusionBlood4Hours,,Transfusion Blood (4 Hours),<Not Known>,Field must be Not Known/Not Recorded when Transfusion Blood (4 Hours) is Not Known/Not Recorded
TransfusionPlasma4Hours,,11107,2,Transfusion Plasma (4 Hours),<Not Biu =2>,TransfusionBlood4Hours,,Transfusion Blood (4 Hours),<Not Known>,Field must be Not Known/Not Recorded when Transfusion Blood (4 Hours) is Not Known/Not Recorded
TransfusionPlatelets4Hours,,11207,2,Transfusion Platelets (4 Hours),<Not Biu =2>,TransfusionBlood4Hours,,Transfusion Blood (4 Hours),<Not Known>,Field must be Not Known/Not Recorded when Transfusion Blood (4 Hours) is Not Known/Not Recorded
Cryoprecipitate4Hours,,11307,2,Cryoprecipitate (4 Hours),<Not Biu =2>,TransfusionBlood4Hours,,Transfusion Blood (4 Hours),<Not Known>,Field must be Not Known/Not Recorded when Transfusion Blood (4 Hours) is Not Known/Not Recorded
TransfusionBlood24Hours,,11407,2,Transfusion Blood (24 Hours),<Not Biu =2>,TransfusionBlood4Hours,,Transfusion Blood (4 Hours),<Not Known>,Field must be Not Known/Not Recorded when Transfusion Blood (4 Hours) is Not Known/Not Recorded
TransfusionPlasma24Hours,,11509,2,Transfusion Plasma (24 Hours),<Not Biu =2>,TransfusionBlood4Hours,,Transfusion Blood (4 Hours),<Not Known>,Field must be Not Known/Not Recorded when Transfusion Blood (4 Hours) is Not Known/Not Recorded
TransfusionPlatelets24Hours,,11608,2,Transfusion Platelets (24 Hours),<Not Biu =2>,TransfusionBlood4Hours,,Transfusion Blood (4 Hours),<Not Known>,Field must be Not Known/Not Recorded when Transfusion Blood (4 Hours) is Not Known/Not Recorded
Cryoprecipitate24Hours,,12708,2,Cryoprecipitate (24 Hours),<Not Biu =2>,TransfusionBlood4Hours,,Transfusion Blood (4 Hours),<Not Known>,Field must be Not Known/Not Recorded when Transfusion Blood (4 Hours) is Not Known/Not Recorded
Angiography,,11705,2,Angiography,<Not Biu =2>,TransfusionBlood4Hours,,Transfusion Blood (4 Hours),<Not Known>,Field must be Not Known/Not Recorded when Transfusion Blood (4 Hours) is Not Known/Not Recorded
HemorrhageControlSurgeryType,,12105,2,Surgery For Hemorrhage Control Type,<Not Biu =2>,TransfusionBlood4Hours,,Transfusion Blood (4 Hours),<Not Known>,Field must be Not Known/Not Recorded when Transfusion Blood (4 Hours) is Not Known/Not Recorded
WithdrawalOfLifeSupportingTreatmentDate,,13905,2,Withdrawal of Life Supporting Treatment Date,<Not Applicable>,WithdrawalOfLifeSupportingTreatment,,Withdrawal of Life Supporting Treatment,1,"Field cannot be Not Applicable when Withdrawal of Life Supporting Treatment is 1 (Yes)"
WithdrawalOfLifeSupportingTreatmentDate,,13906,2,Withdrawal of Life Supporting Treatment Date,<Not Biu =1>,WithdrawalOfLifeSupportingTreatment,,Withdrawal of Life Supporting Treatment,2,"Field should be Not Applicable when Withdrawal of Life Supporting Treatment is 2 (No)"
WithdrawalOfLifeSupportingTreatmentTime,,14005,2,Withdrawal of Life Supporting Treatment Time,<Not Applicable>,WithdrawalOfLifeSupportingTreatment,,Withdrawal of Life Supporting Treatment,1,"Field cannot be Not Applicable when Withdrawal of Life Supporting Treatment is 1 (Yes)"
WithdrawalOfLifeSupportingTreatmentTime,,14006,2,Withdrawal of Life Supporting Treatment Time,<Not Biu =1>,WithdrawalOfLifeSupportingTreatment,,Withdrawal of Life Supporting Treatment,2,"Field should be Not Applicable when Withdrawal of Life Supporting Treatment is 2 (No)"
