Tag Name,List,Rule ID,Level,Description,Tag Name,Description,Tag Name,Description,Tag Name,Description,Message (Display IF <col 6> = <col 8> AND <col 1> is less than <col 10>)
HospitalProcedures[].HospitalProcedureStartTime,HospitalProcedures,6706,4,Hospital Procedure Start Time,HospitalProcedures[].HospitalProcedureStartDate,Hospital Procedure Start Date,HospitalArrivalDate,ED/Hospital Arrival Date,HospitalArrivalTime,ED/Hospital Arrival Time,"Hospital Procedure Start Time is earlier than ED/Hospital Arrival Time"
HospitalDischargeTime,,7804,4,Hospital Discharge Time,HospitalDischargeDate,Hospital Discharge Date,EmsNotifyDate,EMS Dispatch Date,EmsNotifyTime,EMS Dispatch Time,"Hospital Discharge Time is earlier than EMS Dispatch Time"
HospitalDischargeTime,,7805,4,Hospital Discharge Time,HospitalDischargeDate,Hospital Discharge Date,EmsArrivalDate,EMS Unit Arrival on Scene Date,EmsArrivalTime,EMS Unit Arrival on Scene Time,"Hospital Discharge Time is earlier than EMS Unit Arrival on Scene Time"
HospitalDischargeTime,,7806,4,Hospital Discharge Time,HospitalDischargeDate,Hospital Discharge Date,EmsLeftDate,EMS Unit Scene Departure Date,EmsLeftTime,EMS Unit Scene Departure Time,"Hospital Discharge Time is earlier than EMS Unit Scene Departure Time"
HospitalDischargeTime,,7807,4,Hospital Discharge Time,HospitalDischargeDate,Hospital Discharge Date,HospitalArrivalDate,ED/Hospital Arrival Date,HospitalArrivalTime,ED/Hospital Arrival Time,"Hospital Discharge Time is earlier than ED/Hospital Arrival Time"
HospitalDischargeTime,,7808,4,Hospital Discharge Time,HospitalDischargeDate,Hospital Discharge Date,EdDischargeDate,ED Discharge Date,EdDischargeTime,ED Discharge Time,"Hospital Discharge Time is earlier than ED Discharge Time"
TbiCerebralMonitorTime,,10506,4,Cerebral Monitor Time,TbiCerebralMonitorDate,Cerebral Monitor Date,HospitalArrivalDate,ED/Hospital Arrival Date,HospitalArrivalTime,ED/Hospital Arrival Time,Cerebral Monitor Time should not be earlier than ED/Hospital Arrival Time unless placed at referring facility and used for monitoring
VteProphylaxisTime,,10806,2,Venous Thromboembolism Prophylaxis Time,VteProphylaxisDate,Venous Thromboembolism Prophylaxis Date,HospitalArrivalDate,ED/Hospital Arrival Date,HospitalArrivalTime,ED/Hospital Arrival Time,"VTE Prophylaxis Time is earlier than ED/Hospital Arrival Time"
HemorrhageControlSurgeryTime,,12303,2,Surgery For Hemorrhage Control Time,HemorrhageControlSurgeryDate,Surgery For Hemorrhage Control Date,HospitalArrivalDate,ED/Hospital Arrival Date,HospitalArrivalTime,ED/Hospital Arrival Time,"Surgery For Hemorrhage Control Time is earlier than ED/Hospital Arrival Time"
AngiographyTime,,12006,2,Angiography Time,AngiographyDate,Angiography Date,HospitalArrivalDate,ED/Hospital Arrival Date,HospitalArrivalTime,ED/Hospital Arrival Time,"Angiography Time is earlier than ED/Hospital Arrival Time"
WithdrawalOfLifeSupportingTreatmentTime,,14003,2,Withdrawal Of Life Supporting Treatment Time,WithdrawalOfLifeSupportingTreatmentDate,Withdrawal Of Life Supporting Treatment Date,HospitalArrivalDate,ED/Hospital Arrival Date,HospitalArrivalTime,ED/Hospital Arrival Time,"Withdrawal of Life Supporting Treatment Time is earlier than ED/Hospital Arrival Time"
